alpha,exact_22524,poly_22524,exact_54688,poly_54688,exact_57911,poly_57911,exact_31239,poly_31239,exact_97108,poly_97108,exact_34644,poly_34644,exact_26805,poly_26805,exact_54954,poly_54954
1.0000000000e-04,1.1246618687e-07,1.1246618687e-07,2.1002560611e-08,2.1002560611e-08,4.9471598554e-08,4.9471598554e-08,1.7747331066e-08,1.7747331066e-08,3.9407016657e-08,3.9407016657e-08,4.0871878171e-08,4.0871878171e-08,1.9926282221e-08,1.9926282221e-08,1.5189096004e-08,1.5189096004e-08
1.2589254118e-04,1.1267230341e-07,1.1267230341e-07,2.1240785936e-08,2.1240785936e-08,4.9701081406e-08,4.9701081406e-08,1.7987914652e-08,1.7987914652e-08,3.9642740509e-08,3.9642740508e-08,4.1107619076e-08,4.1107619076e-08,2.0168081468e-08,2.0168081468e-08,1.5434325083e-08,1.5434325083e-08
1.5848931925e-04,1.1291551637e-07,1.1291551637e-07,2.1534115423e-08,2.1534115423e-08,4.9980795427e-08,4.9980795428e-08,1.8284954221e-08,1.8284954221e-08,3.9932260807e-08,3.9932260807e-08,4.1397178768e-08,4.1397178768e-08,2.0467066104e-08,2.0467066104e-08,1.5738705600e-08,1.5738705600e-08
1.9952623150e-04,1.1319591335e-07,1.1319591335e-07,2.1892969261e-08,2.1892969261e-08,5.0318372881e-08,5.0318372881e-08,1.8649653510e-08,1.8649653510e-08,4.0285273102e-08,4.0285273102e-08,4.1750269062e-08,4.1750269062e-08,2.0834871247e-08,2.0834871246e-08,1.6115012239e-08,1.6115012239e-08
2.5118864315e-04,1.1350803785e-07,1.1350803785e-07,2.2328215210e-08,2.2328215210e-08,5.0720279076e-08,5.0720279076e-08,1.9094120275e-08,1.9094120275e-08,4.0711507091e-08,4.0711507091e-08,4.2176646268e-08,4.2176646268e-08,2.1284289579e-08,2.1284289579e-08,1.6577841085e-08,1.6577841085e-08
3.1622776602e-04,1.1383619777e-07,1.1383619777e-07,2.2849968199e-08,2.2849968199e-08,5.1189671821e-08,5.1189671821e-08,1.9630432381e-08,1.9630432381e-08,4.1219287111e-08,4.1219287111e-08,4.2684677941e-08,4.2684677941e-08,2.1828486052e-08,2.1828486052e-08,1.7143211912e-08,1.7143211912e-08
3.9810717055e-04,1.1414665482e-07,1.1414665482e-07,2.3465309216e-08,2.3465309216e-08,5.1722631355e-08,5.1722631355e-08,2.0268778942e-08,2.0268778942e-08,4.1812872764e-08,4.1812872764e-08,4.3278693493e-08,4.3278693493e-08,2.2479374645e-08,2.2479374645e-08,1.7827559033e-08,1.7827559033e-08
5.0118723363e-04,1.1437477321e-07,1.1437477321e-07,2.4174193370e-08,2.4174193370e-08,5.2301709939e-08,5.2301709939e-08,2.1014037433e-08,2.1014037433e-08,4.2487768347e-08,4.2487768347e-08,4.3954309521e-08,4.3954309521e-08,2.3244569020e-08,2.3244569020e-08,1.8645655001e-08,1.8645655001e-08
6.3095734448e-04,1.1440405729e-07,1.1440405729e-07,2.4962364575e-08,2.4962364575e-08,5.2885110316e-08,5.2885110316e-08,2.1859748556e-08,2.1859748556e-08,4.3222689880e-08,4.3222689880e-08,4.4690422102e-08,4.4690422102e-08,2.4121949540e-08,2.4121949540e-08,1.9606719516e-08,1.9606719516e-08
7.9432823472e-04,1.1403217989e-07,1.1403217989e-07,2.5789370672e-08,2.5789370672e-08,5.3388781486e-08,5.3388781486e-08,2.2777811402e-08,2.2777811402e-08,4.3966079682e-08,4.3966079682e-08,4.5435761557e-08,4.5435761557e-08,2.5090297085e-08,2.5090297084e-08,2.0707496609e-08,2.0707496609e-08
1.0000000000e-03,1.1291619857e-07,1.1291619857e-07,2.6568617693e-08,2.6568617693e-08,5.3657094141e-08,5.3657094141e-08,2.3701200069e-08,2.3701200069e-08,4.4613784195e-08,4.4613784195e-08,4.6086634072e-08,4.6086634072e-08,2.6093497560e-08,2.6093497559e-08,2.1920331174e-08,2.1920331174e-08
1.2589254118e-03,1.1048454312e-07,1.1048454312e-07,2.7134560770e-08,2.7134560770e-08,5.3415170559e-08,5.3415170559e-08,2.4495373739e-08,2.4495373739e-08,4.4972480679e-08,4.4972480679e-08,4.6450449714e-08,4.6450449714e-08,2.7014310371e-08,2.7014310371e-08,2.3173073625e-08,2.3173073625e-08
1.5848931925e-03,1.0579603156e-07,1.0579603156e-07,2.7189198007e-08,2.7189198007e-08,5.2191829645e-08,5.2191829645e-08,2.4993836191e-08,2.4911456989e-08,4.4700208010e-08,4.4700208010e-08,4.6186414003e-08,4.6186414003e-08,2.7631286872e-08,2.7631286872e-08,2.4315722810e-08,2.4315722810e-08
1.9952623150e-03,9.7314545666e-08,9.7314545667e-08,2.6215371502e-08,2.6215371502e-08,4.9195571000e-08,4.9195571000e-08,2.5064864541e-08,2.4510137481e-08,4.3210220349e-08,4.3210220349e-08,4.4709636697e-08,4.4709636696e-08,2.7548593025e-08,2.7548593025e-08,2.5065660019e-08,2.5065660019e-08
2.5118864315e-03,8.2549548699e-08,8.2549548699e-08,2.3336969950e-08,2.3336969951e-08,4.3115640949e-08,4.3115640949e-08,2.4284003803e-08,2.2538662367e-08,3.9516221117e-08,3.9516221117e-08,4.1036770422e-08,4.1036770422e-08,2.6082396761e-08,2.6082396760e-08,2.4918460549e-08,2.4918460548e-08
3.1622776602e-03,5.7483364817e-08,5.7483364818e-08,1.7094357396e-08,1.7094357396e-08,3.1803744715e-08,3.1803744715e-08,2.1921657321e-08,1.7732882453e-08,3.1984073605e-08,3.1984073605e-08,3.3538363088e-08,3.3538363087e-08,2.2077796463e-08,2.2077796462e-08,2.3003530502e-08,2.3003530502e-08
3.9810717055e-03,1.5659726788e-08,1.5659726788e-08,5.0846658169e-09,5.0846658158e-09,1.1765819065e-08,1.1765819064e-08,1.6761594447e-08,7.9997261244e-09,1.7934509839e-08,1.7934509839e-08,1.9542584471e-08,1.9542584471e-08,1.3614885786e-08,1.3614885786e-08,1.7851518366e-08,1.7851518367e-08
5.0118723363e-03,0.0000000000e+00,-5.3265501059e-08,0.0000000000e+00,-1.6613068954e-08,0.0000000000e+00,-2.2648206424e-08,3.9882794757e-09,-1.0090813364e-08,0.0000000000e+00,-6.9912908978e-09,0.0000000000e+00,-5.2975815613e-09,0.0000000000e+00,-2.4618689812e-09,0.0000000000e+00,7.0209181656e-09
