alpha,exact_93705,poly_93705,exact_37913,poly_37913,exact_99951,poly_99951,exact_24005,poly_24005,exact_55566,poly_55566,exact_77383,poly_77383,exact_90645,poly_90645
1.0000000000e-04,5.1251920631e-05,5.1251920631e-05,4.7486296690e-05,4.7486296690e-05,4.0225993812e-06,4.0225993812e-06,4.3532204897e-06,4.3532204897e-06,2.9364841207e-06,2.9364841207e-06,4.5891778309e-04,4.5891778309e-04,3.7471817510e-06,3.7471817510e-06
1.2589254118e-04,5.1250846338e-05,5.1250846338e-05,4.7485320443e-05,4.7485320443e-05,4.0227536556e-06,4.0227536556e-06,4.3533664800e-06,4.3533664800e-06,2.9366668366e-06,2.9366668366e-06,4.5890614980e-04,4.5890614980e-04,3.7473436796e-06,3.7473436796e-06
1.5848931925e-04,5.1249491906e-05,5.1249491906e-05,4.7484089616e-05,4.7484089616e-05,4.0229477090e-06,4.0229477090e-06,4.3535501947e-06,4.3535501947e-06,2.9368967989e-06,2.9368967989e-06,4.5889150160e-04,4.5889150160e-04,3.7475475390e-06,3.7475475390e-06
1.9952623150e-04,5.1247783642e-05,5.1247783642e-05,4.7482537238e-05,4.7482537238e-05,4.0231917436e-06,4.0231917436e-06,4.3537813571e-06,4.3537813571e-06,2.9371862036e-06,2.9371862035e-06,4.5887305622e-04,4.5887305622e-04,3.7478041886e-06,3.7478041886e-06
2.5118864315e-04,5.1245628096e-05,5.1245628096e-05,4.7480578378e-05,4.7480578378e-05,4.0234985465e-06,4.0234985465e-06,4.3540721819e-06,4.3540721818e-06,2.9375503830e-06,2.9375503830e-06,4.5884982790e-04,4.5884982790e-04,3.7481273002e-06,3.7481273002e-06
3.1622776602e-04,5.1242906549e-05,5.1242906549e-05,4.7478105138e-05,4.7478105138e-05,4.0238841252e-06,4.0238841252e-06,4.3544380052e-06,4.3544380052e-06,2.9380086050e-06,2.9380086050e-06,4.5882057416e-04,4.5882057416e-04,3.7485340878e-06,3.7485340878e-06
3.9810717055e-04,5.1239467845e-05,5.1239467845e-05,4.7474980130e-05,4.7474980130e-05,4.0243684887e-06,4.0243684887e-06,4.3548980687e-06,4.3548980687e-06,2.9385850719e-06,2.9385850719e-06,4.5878372841e-04,4.5878372841e-04,3.7490462257e-06,3.7490462257e-06
5.0118723363e-04,5.1235118991e-05,5.1235118991e-05,4.7471027937e-05,4.7471027937e-05,4.0249766001e-06,4.0249766001e-06,4.3554764924e-06,4.3554764924e-06,2.9393101658e-06,2.9393101658e-06,4.5873731466e-04,4.5873731466e-04,3.7496910048e-06,3.7496910048e-06
6.3095734448e-04,5.1229612758e-05,5.1229612758e-05,4.7466023828e-05,4.7466023828e-05,4.0257395263e-06,4.0257395263e-06,4.3562034770e-06,4.3562034770e-06,2.9402219989e-06,2.9402219989e-06,4.5867883933e-04,4.5867883933e-04,3.7505027901e-06,3.7505027902e-06
7.9432823472e-04,5.1222631134e-05,5.1222631134e-05,4.7459678713e-05,4.7459678713e-05,4.0266958083e-06,4.0266958083e-06,4.3571167823e-06,4.3571167823e-06,2.9413683342e-06,2.9413683342e-06,4.5860515368e-04,4.5860515368e-04,3.7515248571e-06,3.7515248572e-06
1.0000000000e-03,5.1213763040e-05,5.1213763040e-05,4.7451618865e-05,4.7451618865e-05,4.0278930631e-06,4.0278930631e-06,4.3582635321e-06,4.3582635321e-06,2.9428089577e-06,2.9428089577e-06,4.5851227871e-04,4.5851227871e-04,3.7528117055e-06,3.7528117055e-06
1.2589254118e-03,5.1202473964e-05,5.1202473964e-05,4.7441358290e-05,4.7441358290e-05,4.0293898049e-06,4.0293898049e-06,4.3597023967e-06,4.3597023967e-06,2.9446185898e-06,2.9446185898e-06,4.5839518131e-04,4.5839518131e-04,3.7544319770e-06,3.7544319770e-06
1.5848931925e-03,5.1188064050e-05,5.1188064050e-05,4.7428260584e-05,4.7428260584e-05,4.0312574297e-06,4.0312574297e-06,4.3615062000e-06,4.3615062000e-06,2.9468904336e-06,2.9468904336e-06,4.5824748750e-04,4.5824748750e-04,3.7564721353e-06,3.7564721353e-06
1.9952623150e-03,5.1169609537e-05,5.1169609537e-05,4.7411485625e-05,4.7411485625e-05,4.0335822235e-06,4.0335822235e-06,4.3637649771e-06,4.3637649771e-06,2.9497404545e-06,2.9497404545e-06,4.5806111311e-04,4.5806111311e-04,3.7590411086e-06,3.7590411086e-06
2.5118864315e-03,5.1145879809e-05,5.1145879809e-05,4.7389914043e-05,4.7389914043e-05,4.0364671139e-06,4.0364671139e-06,4.3665894687e-06,4.3665894687e-06,2.9533124726e-06,2.9533124726e-06,4.5782578606e-04,4.5782578606e-04,3.7622761519e-06,3.7622761519e-06
