alpha,vides_exact,vides_poly,accord,min_exact,min_poly,err_max,f_1e8,f_1e4,f_1e2,hors_comb,hors_comb_1e4,res_exact,res_poly,borne
1.0000000000e-04,0,0,0,2.1252587015e-06,2.1252587015e-06,1.1624070749e-07,0.999980,1.000000,1.000000,24,1.000000,9.9990000127e-01,9.9990000127e-01,9.9995000000e-01
1.2589254118e-04,0,0,0,2.1254626548e-06,2.1254626548e-06,7.6292276448e-08,0.999980,1.000000,1.000000,34,1.000000,9.9987410948e-01,9.9987410948e-01,9.9993705373e-01
1.5848931925e-04,0,0,0,2.1257194284e-06,2.1257194284e-06,7.1147055829e-08,0.999980,1.000000,1.000000,42,1.000000,9.9984151388e-01,9.9984151388e-01,9.9992075534e-01
1.9952623150e-04,0,0,0,2.1260427056e-06,2.1260427056e-06,2.8521163169e-08,0.999960,1.000000,1.000000,50,1.000000,9.9980047884e-01,9.9980047884e-01,9.9990023688e-01
2.5118864315e-04,0,0,0,2.1264497169e-06,2.1264497169e-06,1.9653435962e-07,0.999910,1.000000,1.000000,62,1.000000,9.9974881940e-01,9.9974881940e-01,9.9987440568e-01
3.1622776602e-04,0,0,0,2.1269621602e-06,2.1269621602e-06,4.4575201261e-08,0.999730,1.000000,1.000000,72,1.000000,9.9968378497e-01,9.9968378497e-01,9.9984188612e-01
3.9810717055e-04,0,0,0,2.1276073617e-06,2.1276073617e-06,7.9686747135e-08,0.999440,1.000000,1.000000,89,1.000000,9.9960191302e-01,9.9960191302e-01,9.9980094641e-01
5.0118723363e-04,0,0,0,2.1284197389e-06,2.1284197389e-06,1.5376936687e-07,0.999030,1.000000,1.000000,117,1.000000,9.9949884477e-01,9.9949884477e-01,9.9974940638e-01
6.3095734448e-04,0,0,0,2.1294426460e-06,2.1294426460e-06,2.3489289741e-07,0.998530,1.000000,1.000000,161,1.000000,9.9936909337e-01,9.9936909337e-01,9.9968452133e-01
7.9432823472e-04,0,0,0,2.1307307029e-06,2.1307307029e-06,3.9268004153e-07,0.997750,1.000000,1.000000,195,1.000000,9.9920575215e-01,9.9920575215e-01,9.9960283588e-01
1.0000000000e-03,0,0,0,2.1323527348e-06,2.1323527348e-06,6.4865467306e-07,0.997000,1.000000,1.000000,241,1.000000,9.9900012740e-01,9.9900012740e-01,9.9950000000e-01
1.2589254118e-03,0,0,0,2.1343954879e-06,2.1343954879e-06,1.0617689802e-06,0.996100,1.000000,1.000000,291,1.000000,9.9874127650e-01,9.9874127650e-01,9.9937053729e-01
1.5848931925e-03,0,0,0,2.1369683283e-06,2.1369683283e-06,1.7258558524e-06,0.994660,1.000000,1.000000,349,1.000000,9.9841542682e-01,9.9841542682e-01,9.9920755340e-01
1.9952623150e-03,0,0,0,2.1402091912e-06,2.1402091912e-06,2.7901308951e-06,0.992950,1.000000,1.000000,453,1.000000,9.9800524488e-01,9.9800524488e-01,9.9900236884e-01
2.5118864315e-03,0,0,0,2.1442921261e-06,2.1442921261e-06,4.4917043597e-06,0.990930,1.000000,1.000000,557,1.000000,9.9748891741e-01,9.9748891741e-01,9.9874405678e-01
3.1622776602e-03,0,0,0,2.1494368805e-06,2.1494368805e-06,7.2071616844e-06,0.987940,1.000000,1.000000,719,1.000000,9.9683899634e-01,9.9683899635e-01,9.9841886117e-01
3.9810717055e-03,0,0,0,2.1559211027e-06,2.1559211027e-06,1.1534348862e-05,0.983810,1.000000,1.000000,897,1.000000,9.9602094743e-01,9.9602094746e-01,9.9800946415e-01
5.0118723363e-03,0,0,0,2.1640959199e-06,2.1640959199e-06,5.1443221384e-05,0.980140,1.000000,1.000000,1100,1.000000,9.9499132766e-01,9.9499132782e-01,9.9749406383e-01
6.3095734448e-03,0,0,0,2.1744058930e-06,2.1744058930e-06,2.1713446025e-04,0.974640,0.999940,1.000000,1396,0.997851,9.9369549796e-01,9.9369549847e-01,9.9684521328e-01
7.9432823472e-03,0,0,0,2.1874146814e-06,2.1874146814e-06,7.1219048654e-04,0.967540,0.999940,1.000000,1738,0.998274,9.9206475490e-01,9.9206475610e-01,9.9602835883e-01
1.0000000000e-02,0,0,0,2.2038382154e-06,2.2038382154e-06,1.7416296379e-03,0.959080,0.999910,1.000000,2168,0.997694,9.9001273761e-01,9.9001274009e-01,9.9500000000e-01
1.2589254118e-02,0,0,0,2.2245878214e-06,2.2245878214e-06,3.6814012093e-03,0.947090,0.999790,1.000000,2774,0.996395,9.8743093303e-01,9.8743093759e-01,9.9370537294e-01
1.5848931925e-02,0,0,0,2.2508266786e-06,2.2508266786e-06,7.1437585526e-03,0.933800,0.999340,1.000000,3467,0.991059,9.8418306202e-01,9.8418306987e-01,9.9207553404e-01
1.9952623150e-02,0,0,0,2.2840443221e-06,2.2840443221e-06,1.3119721663e-02,0.916690,0.997050,0.999980,4348,0.963891,9.8009808339e-01,9.8009809648e-01,9.9002368843e-01
