alpha,exact_1693,poly_1693,exact_1158,poly_1158,exact_1277,poly_1277,exact_387,poly_387,exact_1476,poly_1476,exact_1915,poly_1915
1.0000000000e-04,4.7814069650e-05,4.7814069650e-05,2.0095110322e-05,2.0095110322e-05,1.0106766905e-05,1.0106766905e-05,5.8063665107e-05,5.8063665107e-05,3.3861461921e-05,3.3861461921e-05,7.2651911022e-06,7.2651911022e-06
1.2589254118e-04,4.7825478253e-05,4.7825478253e-05,2.0107399077e-05,2.0107399077e-05,1.0119399865e-05,1.0119399865e-05,5.8075009073e-05,5.8075009073e-05,3.3873460431e-05,3.3873460431e-05,7.2779098141e-06,7.2779098141e-06
1.5848931925e-04,4.7839742782e-05,4.7839742782e-05,2.0122824575e-05,2.0122824575e-05,1.0135286580e-05,1.0135286580e-05,5.8089257674e-05,5.8089257674e-05,3.3888542124e-05,3.3888542124e-05,7.2939084508e-06,7.2939084508e-06
1.9952623150e-04,4.7857545361e-05,4.7857545361e-05,2.0142172607e-05,2.0142172607e-05,1.0155259447e-05,1.0155259447e-05,5.8107143921e-05,5.8107143921e-05,3.3907491547e-05,3.3907491547e-05,7.3140285049e-06,7.3140285049e-06
2.5118864315e-04,4.7879711189e-05,4.7879711189e-05,2.0166416982e-05,2.0166416982e-05,1.0180360493e-05,1.0180360493e-05,5.8129579470e-05,5.8129579470e-05,3.3931288336e-05,3.3931288336e-05,7.3393248121e-06,7.3393248121e-06
3.1622776602e-04,4.7907225966e-05,4.7907225966e-05,2.0196759189e-05,2.0196759189e-05,1.0211892207e-05,1.0211892207e-05,5.8157694345e-05,5.8157694345e-05,3.3961153018e-05,3.3961153018e-05,7.3711181357e-06,7.3711181357e-06
3.9810717055e-04,4.7941246363e-05,4.7941246363e-05,2.0234673034e-05,2.0234673034e-05,1.0251479509e-05,1.0251479509e-05,5.8192883144e-05,5.8192883144e-05,3.3998601919e-05,3.3998601919e-05,7.4110598120e-06,7.4110598120e-06
5.0118723363e-04,4.7983095000e-05,4.7983095000e-05,2.0281952471e-05,2.0281952471e-05,1.0301144576e-05,1.0301144576e-05,5.8236857155e-05,5.8236857155e-05,3.4045511504e-05,3.4045511927e-05,7.4612106739e-06,7.4612106739e-06
6.3095734448e-04,4.8034225319e-05,4.8034225319e-05,2.0340758545e-05,2.0340758545e-05,1.0363395965e-05,1.0363395965e-05,5.8291700381e-05,5.8291700381e-05,3.4104188243e-05,3.4104195098e-05,7.5241365066e-06,7.5241365066e-06
7.9432823472e-04,4.8096131661e-05,4.8096131661e-05,2.0413657474e-05,2.0413657474e-05,1.0441332786e-05,1.0441332786e-05,5.8359924880e-05,5.8359924880e-05,3.4177455655e-05,3.4177481622e-05,7.6030220352e-06,7.6030220352e-06
1.0000000000e-03,4.8170163671e-05,4.8170163671e-05,2.0503635262e-05,2.0503635262e-05,1.0538763118e-05,1.0538763118e-05,5.8444516358e-05,5.8444516358e-05,3.4268739396e-05,3.4268806883e-05,7.7018046266e-06,7.7018046266e-06
1.2589254118e-03,4.8257177886e-05,4.8257177886e-05,2.0614063283e-05,2.0614063283e-05,1.0660332906e-05,1.0660332906e-05,5.8548953406e-05,5.8548953406e-05,3.4382146094e-05,3.4382293517e-05,7.8253270754e-06,7.8253270754e-06
1.5848931925e-03,4.8356917250e-05,4.8356917250e-05,2.0748571255e-05,2.0748571255e-05,1.0811656261e-05,1.0811656261e-05,5.8677171236e-05,5.8677171236e-05,3.4522519160e-05,3.4522811070e-05,7.9797408756e-06,7.9795053312e-06
1.9952623150e-03,4.8466941725e-05,4.8466941725e-05,2.0910754657e-05,2.0910754657e-05,1.0999428819e-05,1.0999428819e-05,5.8833420182e-05,5.8833420182e-05,3.4695438588e-05,3.4695981894e-05,8.1729680748e-06,8.1715006365e-06
2.5118864315e-03,4.8580825180e-05,4.8580825180e-05,2.1103596148e-05,2.1103596148e-05,1.1231490123e-05,1.1231490123e-05,5.9021935636e-05,5.9021935636e-05,3.4907108986e-05,3.4908078928e-05,8.4143918078e-06,8.4098743939e-06
3.1622776602e-03,4.8685161379e-05,4.8685161379e-05,2.1328403936e-05,2.1328403936e-05,1.1516774867e-05,1.1516774867e-05,5.9246281757e-05,5.9246281757e-05,3.5164041582e-05,3.5165723201e-05,8.7154181625e-06,8.7046851225e-06
3.9810717055e-03,4.8754647238e-05,4.8754647238e-05,2.1582947147e-05,2.1582947147e-05,1.1865049757e-05,1.1865049757e-05,5.9508421840e-05,5.9508143651e-05,3.5472373312e-05,3.5475227559e-05,9.0897788339e-06,9.0674551826e-06
5.0118723363e-03,4.8744074328e-05,4.8744074328e-05,2.1858271359e-05,2.1858271359e-05,1.2286262469e-05,1.2286262469e-05,5.9815887103e-05,5.9805202014e-05,3.5836564893e-05,3.5841333901e-05,9.5537661347e-06,9.5108826914e-06
6.3095734448e-03,4.8575364376e-05,4.8575364376e-05,2.2133362996e-05,2.2133362996e-05,1.2789215252e-05,1.2789215252e-05,6.0172657134e-05,6.0127498944e-05,3.6257400969e-05,3.6264931545e-05,1.0126314113e-05,1.0048088661e-05
7.9432823472e-03,4.8116679604e-05,4.8116679604e-05,2.2366329690e-05,2.2366329690e-05,1.3379091883e-05,1.3379091883e-05,6.0573772535e-05,6.0451343595e-05,3.6734930436e-05,3.6739088220e-05,1.0828760329e-05,1.0691050793e-05
1.0000000000e-02,4.7148883926e-05,4.7148883926e-05,2.2479964731e-05,2.2479964731e-05,1.4053071286e-05,1.4053071286e-05,6.1002622178e-05,6.0729232117e-05,3.7256601954e-05,3.7242315376e-05,1.1684006544e-05,1.1447651641e-05
1.2589254118e-02,4.5311845010e-05,4.5311845010e-05,2.2338292508e-05,2.2338292508e-05,1.4792787839e-05,1.4792787839e-05,6.1421862326e-05,6.0873341640e-05,3.7787988300e-05,3.7727335180e-05,1.2714607175e-05,1.2316409095e-05
1.5848931925e-02,4.2018645811e-05,4.2018645811e-05,2.1708670691e-05,2.1708670691e-05,1.5551641830e-05,1.5551641830e-05,6.1758437726e-05,6.0728702485e-05,3.8296333844e-05,3.8102573343e-05,1.3939007883e-05,1.3277380546e-05
