alpha,vides_exact,vides_poly,accord,min_exact,min_poly,err_max,f_1e8,f_1e4,f_1e2,hors_comb,hors_comb_1e4,res_exact,res_poly,borne
1.0000000000e-04,0,0,0,1.5715466693e-06,1.5715466693e-06,2.5320997604e-10,1.000000,1.000000,1.000000,2,1.000000,9.9989999926e-01,9.9989999926e-01,9.9995000000e-01
1.2589254118e-04,0,0,0,1.5846773786e-06,1.5846773786e-06,9.5034489176e-10,1.000000,1.000000,1.000000,2,1.000000,9.9987410629e-01,9.9987410629e-01,9.9993705373e-01
1.5848931925e-04,0,0,0,1.6012809235e-06,1.6012809235e-06,2.4606200053e-09,1.000000,1.000000,1.000000,2,1.000000,9.9984150882e-01,9.9984150882e-01,9.9992075534e-01
1.9952623150e-04,0,0,0,1.6222991839e-06,1.6222991839e-06,5.3646047565e-09,1.000000,1.000000,1.000000,2,1.000000,9.9980047082e-01,9.9980047082e-01,9.9990023688e-01
2.5118864315e-04,0,0,0,1.6489428762e-06,1.6489428762e-06,1.0609610385e-08,0.999500,1.000000,1.000000,4,1.000000,9.9974880669e-01,9.9974880669e-01,9.9987440568e-01
3.1622776602e-04,0,0,0,1.6827757614e-06,1.6827757614e-06,1.9731249342e-08,0.999000,1.000000,1.000000,6,1.000000,9.9968376483e-01,9.9968376483e-01,9.9984188612e-01
3.9810717055e-04,0,0,0,1.7258291944e-06,1.7258291944e-06,3.5206367816e-08,0.997500,1.000000,1.000000,6,1.000000,9.9960188110e-01,9.9960188110e-01,9.9980094641e-01
5.0118723363e-04,0,0,0,1.7807598674e-06,1.7807598674e-06,6.1014740644e-08,0.995500,1.000000,1.000000,8,1.000000,9.9949879417e-01,9.9949879417e-01,9.9974940638e-01
6.3095734448e-04,0,0,0,1.8510698449e-06,1.8510698449e-06,1.1862292897e-07,0.991000,1.000000,1.000000,10,1.000000,9.9936901319e-01,9.9936901319e-01,9.9968452133e-01
7.9432823472e-04,0,0,0,1.9414175650e-06,1.9414175650e-06,2.4944559680e-07,0.990000,1.000000,1.000000,12,1.000000,9.9920562506e-01,9.9920562506e-01,9.9960283588e-01
1.0000000000e-03,0,0,0,2.0580632439e-06,2.0580632439e-06,4.8248931104e-07,0.985000,1.000000,1.000000,16,1.000000,9.9899992598e-01,9.9899992598e-01,9.9950000000e-01
1.2589254118e-03,0,0,0,2.2095149945e-06,2.2095149945e-06,8.8419797962e-07,0.980500,1.000000,1.000000,22,1.000000,9.9874095729e-01,9.9874095727e-01,9.9937053729e-01
1.5848931925e-03,0,0,0,2.4074775732e-06,2.4074775732e-06,1.5921793247e-06,0.973000,1.000000,1.000000,32,1.000000,9.9841492093e-01,9.9841492088e-01,9.9920755340e-01
1.9952623150e-03,0,0,0,2.6682612671e-06,2.6682612671e-06,4.8799619862e-06,0.965500,1.000000,1.000000,35,1.000000,9.9800444318e-01,9.9800444303e-01,9.9900236884e-01
2.5118864315e-03,0,0,0,3.0148955142e-06,3.0148955142e-06,1.1570731476e-05,0.958000,1.000000,1.000000,43,1.000000,9.9748764705e-01,9.9748764660e-01,9.9874405678e-01
3.1622776602e-03,0,0,0,3.4803285582e-06,3.4803285582e-06,2.4945239430e-05,0.948500,1.000000,1.000000,55,1.000000,9.9683698361e-01,9.9683698233e-01,9.9841886117e-01
3.9810717055e-03,0,0,0,4.1123094576e-06,4.1123094576e-06,5.1883607131e-05,0.928000,1.000000,1.000000,77,1.000000,9.9601775902e-01,9.9601775566e-01,9.9800946415e-01
5.0118723363e-03,0,0,0,4.9808874838e-06,4.9808874838e-06,9.9667733213e-05,0.913000,1.000000,1.000000,90,1.000000,9.9498627809e-01,9.9498626969e-01,9.9749406383e-01
6.3095734448e-03,0,0,0,6.1899981619e-06,6.1899981619e-06,1.8180801005e-04,0.893000,0.994500,1.000000,110,0.954545,9.9368750326e-01,9.9368748317e-01,9.9684521328e-01
7.9432823472e-03,0,0,0,7.5807944654e-06,7.7399386822e-06,3.2376493014e-04,0.868500,0.979000,1.000000,136,0.838235,9.9205210201e-01,9.9205205600e-01,9.9602835883e-01
1.0000000000e-02,0,0,0,9.2251510675e-06,9.2251510675e-06,6.3428113524e-04,0.841500,0.964000,1.000000,168,0.761905,9.8999272070e-01,9.8999262007e-01,9.9500000000e-01
1.2589254118e-02,0,0,0,1.0962855211e-05,1.0962855211e-05,1.1722723101e-03,0.823000,0.939500,1.000000,187,0.636364,9.8739928625e-01,9.8739907038e-01,9.9370537294e-01
1.5848931925e-02,0,0,0,1.3297867085e-05,1.3277380546e-05,2.1866171191e-03,0.787500,0.909000,1.000000,222,0.540541,9.8413310824e-01,9.8413261640e-01,9.9207553404e-01
1.9952623150e-02,0,0,0,1.5364662793e-05,1.4276810029e-05,3.9369270861e-03,0.752000,0.860500,1.000000,260,0.411538,9.8001949603e-01,9.8001826618e-01,9.9002368843e-01
2.5118864315e-02,0,0,0,1.6760998150e-05,1.5201616064e-05,6.8669680141e-03,0.686500,0.799000,1.000000,336,0.354167,9.7483822841e-01,9.7483533552e-01,9.8744056784e-01
3.1622776602e-02,0,0,0,1.3196402229e-05,1.0642316036e-05,1.1707145400e-02,0.637500,0.740000,0.998000,394,0.281726,9.6831173650e-01,9.6830548963e-01,9.8418861170e-01
3.9810717055e-02,0,1,0,1.8950431145e-07,-1.5734636022e-05,2.1240992313e-02,0.560000,0.671500,0.990500,487,0.234086,9.6009049871e-01,9.6007606698e-01,9.8009464147e-01
5.0118723363e-02,1,2,1,0.0000000000e+00,-5.8746293512e-05,6.2396810234e-02,0.500000,0.597500,0.969000,579,0.191710,9.4973465920e-01,9.4970171658e-01,9.7494063832e-01
